GUID,Address,Raion,Housenumber,Unit,Building,CityParsed,StreetParsed,lon,lat
20924468,"улица Косыгина, дом 23, строение 2","","23","","2","г. Москва","улица Косыгина",37.5430261676,55.7069582954
20924470,"улица Косыгина, дом 23, строение 7","","23","","7","г. Москва","улица Косыгина",37.5422025856,55.706900029
20924475,"Очаковское шоссе, дом 14, строение 8","","14","","8","г. Москва","Очаковское шоссе",37.4527516665,55.6938522536
20924480,"улица Перерва, дом 1, строение 2","","1","","2","г. Москва","улица Перерва",37.7157250838,55.6575359503
20924485,"Очаковское шоссе, дом 2, корпус 4, строение 1","","2","4","1","г. Москва","Очаковское шоссе",37.4580612399,55.7002080751
20924517,"Новопоселковая улица, дом 6, строение 2","","6","","2","г. Москва","Новопоселковая улица",37.4432414284,55.8399758734
20924531,"Новокуркинское шоссе, дом 27, строение 1","","27","","1","г. Москва","Новокуркинское шоссе",37.3969275486,55.8993928433
20924542,"Новокуркинское шоссе, дом 47, строение 1","","47","","1","г. Москва","Новокуркинское шоссе",37.3878649449,55.9046490881
20924551,"Тихорецкий бульвар, дом 1, строение 71","","1","","71","г. Москва","Тихорецкий бульвар",37.7804371528,55.6786666454
20924552,"Родионовская улица 8, строение 1","","8","","1",,,37.3954449007,55.894851078
20924566,"1-й Митинский переулок, дом 19, строение 1","","19","","1","г. Москва","1-й Митинский переулок",37.3859036473,55.8503160102
20924583,"Волоколамское шоссе, дом 52, строение 12","","52","","12","г. Москва","Волоколамское шоссе",37.4700827843,55.8153085126
20924585,"3-я Хорошёвская улица, дом 5, корпус 1, строение 1","","5","1","1","г. Москва","3-я Хорошёвская улица",37.5009833057,55.7795730743
20924592,"1-я Дубровская улица, дом 15, строение 32","","15","","32","г. Москва","1-я Дубровская улица",37.6762356216,55.7219652299
20924596,"Шоссейная улица, дом 6, строение 2","","6","","2","г. Москва","Шоссейная улица",37.725101056,55.6906201223
20924848,"Мичуринский проспект, дом 45, строение 1","","45","","1","г. Москва","Мичуринский проспект",37.4822978377,55.6874569273
20924850,"улица Пудовкина, дом 6, корпус 2, строение 2","","6","2","2","г. Москва","улица Пудовкина",37.5335479997,55.7279533965
20924867,"улица Василия Петушкова, дом 1, строение 14","","1","","14","г. Москва","улица Василия Петушкова",37.4033758438,55.8327631963
20924870,"7-я Кожуховская улица, дом 10, корпус 2, строение 1","","10","2","1","г. Москва","7-я Кожуховская улица",37.6729380498,55.7084163077
20924889,"улица Зенитчиков, дом 9, строение 2","","9","","2","г. Москва","улица Зенитчиков",37.3470924193,55.835404637
20924902,"Проектируемый проезд N 3610, дом 4, строение 1","","4","","1","г. Москва","Проектируемый проезд N 3610",37.7100673239,55.7071548747
20924928,"улица Вилиса Лациса, дом 29, корпус 1, строение 2","","29","1","2","г. Москва","улица Вилиса Лациса",37.4128743652,55.8617189971
20924940,"Таллинская улица, дом 32, корпус 2, строение 1","","32","2","1","г. Москва","Таллинская улица",37.4083481353,55.8016551564
20928411,"Рублёвское шоссе, дом 107, сооружение 1","","107","","1","г. Москва","Рублёвское шоссе",37.4214663467,55.7446051518
20928413,"Кутузовский проспект, дом 86, сооружение 1","","86","","1","г. Москва","Кутузовский проспект",37.4508663157,55.7242450061
